CASE NUMBER,CITY,ZIP,MONTH,YEAR,DISPO TYPE,ANSWER,MONEY JUDGMENT,DEFAULT
37-2018-00000540-CL-UD-CTL,Chula Vista,91915,1,2018,Default judgment by court,N,Y,Y
37-2018-00000575-CL-UD-CTL,La Mesa,91942,1,2018,Default judgment by clerk,N,N,Y
37-2018-00000577-CL-UD-CTL,Escondido,92025,1,2018,Default judgment by clerk,N,N,Y
37-2018-00000587-CL-UD-CTL,San Diego,92108,1,2018,Default judgment by clerk,N,N,Y
37-2018-00000597-CL-UD-CTL,San Diego,92101,1,2018,Default judgment by clerk,N,N,Y
37-2018-00000602-CL-UD-CTL,San Diego,92119,1,2018,Default judgment by court,N,Y,Y
37-2018-00000620-CL-UD-CTL,Ramona,92065,1,2018,Default judgment by clerk,N,N,Y
37-2018-00000625-CL-UD-CTL,El Cajon,92020,1,2018,Default judgment by clerk,N,N,Y
37-2018-00000635-CL-UD-CTL,San Diego,92101,1,2018,Default judgment by court,N,Y,Y
37-2018-00000670-CL-UD-CTL,Chula Vista,91910,1,2018,Default judgment by court,N,Y,Y
37-2018-00000700-CL-UD-CTL,San Diego,92105,1,2018,Default judgment by clerk,N,N,Y
37-2018-00000714-CL-UD-CTL,San Diego,92101,1,2018,Court finding,Y,N,N
37-2018-00000753-CL-UD-CTL,San Diego,92154,1,2018,Default judgment by clerk,N,N,Y
37-2018-00000754-CL-UD-CTL,Poway,92064,1,2018,Default judgment by clerk,N,N,Y
37-2018-00000762-CL-UD-CTL,Chula Vista,91911,1,2018,Court finding,Y,Y,Y
37-2018-00000779-CL-UD-CTL,La Jolla,92037,1,2018,Default judgment by clerk,N,N,Y
37-2018-00000807-CL-UD-CTL,La Jolla,92092,1,2018,Default judgment by clerk,N,N,Y
37-2018-00000809-CL-UD-CTL,San Diego,92101,1,2018,Default judgment by clerk,N,N,Y
37-2018-00000812-CL-UD-CTL,San Marcos,92078,1,2018,Court finding,Y,N,N
37-2018-00000818-CL-UD-CTL,Vista,92081,1,2018,Default judgment by court,N,Y,Y
37-2018-00000827-CL-UD-CTL,San Diego,92104,1,2018,Default judgment by court,N,N,Y
37-2018-00000837-CL-UD-CTL,San Diego,92109,1,2018,Default judgment by clerk,N,N,Y
37-2018-00000841-CL-UD-CTL,El Cajon,92021,1,2018,Request for Dismissal,N,N,Y
37-2018-00000847-CL-UD-CTL,Chula Vista,91910,1,2018,Default judgment by clerk,N,N,Y
37-2018-00000862-CL-UD-CTL,Spring Valley,91977,1,2018,Default judgment by clerk,N,N,Y
37-2018-00000873-CL-UD-CTL,Escondido,92027,1,2018,Default judgment by court,N,Y,Y
37-2018-00000877-CL-UD-CTL,San Diego,92122,1,2018,Default judgment by court,N,Y,Y
37-2018-00000910-CL-UD-CTL,Oceanside,92054,1,2018,Default judgment by court,N,Y,Y
37-2018-00000918-CL-UD-CTL,San Diego,92109,1,2018,Default judgment by court,N,Y,Y
37-2018-00000981-CL-UD-CTL,Oceanside,92054,1,2018,Default judgment by clerk,N,N,Y
37-2018-00000989-CL-UD-CTL,Escondido,92025,1,2018,Default judgment by clerk,N,N,Y
37-2018-00001024-CL-UD-CTL,National City,91950,1,2018,Default judgment by court,N,Y,Y
37-2018-00001048-CL-UD-CTL,OCEANSIDE,92058,1,2018,Default judgment by court,N,N,Y
37-2018-00001049-CL-UD-CTL,Chula Vista,91910,1,2018,Default judgment by court,N,Y,Y
37-2018-00001119-CL-UD-CTL,Ramona,92065,1,2018,Court finding,Y,N,N
37-2018-00001124-CL-UD-CTL,El Cajon,92021,1,2018,Court finding,Y,N,N
37-2018-00001126-CL-UD-CTL,San Diego,92114,1,2018,Default judgment by clerk,N,N,Y
37-2018-00001145-CL-UD-CTL,San Diego,92113,1,2018,Default judgment by clerk,N,N,N
37-2018-00001153-CL-UD-CTL,San Diego,92123,1,2018,Default judgment by court,N,Y,Y
37-2018-00001162-CL-UD-CTL,El Cajon,92021,1,2018,Default judgment by court,N,Y,Y
37-2018-00001169-CL-UD-CTL,San Diego,92123,1,2018,Court finding,Y,Y,N
37-2018-00001177-CL-UD-CTL,San Diego,92120,1,2018,Default judgment by court,N,Y,Y
37-2018-00001188-CL-UD-CTL,San Diego,92120,1,2018,Default judgment by court,N,Y,Y
37-2018-00001208-CL-UD-CTL,San Diego,92139,1,2018,Court finding,Y,Y,N
37-2018-00001211-CL-UD-CTL,San Diego,92114,1,2018,Default judgment by clerk,N,N,Y
37-2018-00001246-CL-UD-CTL,San Diego,92105,1,2018,Default judgment by court,N,Y,Y
37-2018-00001248-CL-UD-CTL,San Diego,92101,1,2018,Court finding,Y,Y,N
37-2018-00001251-CL-UD-CTL,San Diego,92111,1,2018,Default judgment by clerk,N,N,Y
37-2018-00001254-CL-UD-CTL,San Diego,92111,1,2018,Default judgment by court,N,Y,Y
37-2018-00001259-CL-UD-CTL,San Diego,92120,1,2018,Stipulated judgment,Y,N,N
37-2018-00001274-CL-UD-CTL,San Diego,92154,1,2018,Default judgment by clerk,N,N,Y
37-2018-00001275-CL-UD-CTL,San Diego,92101,1,2018,Default judgment by clerk,N,N,Y
37-2018-00001284-CL-UD-CTL,San Diego,92110,1,2018,Default judgment by court,N,Y,Y
37-2018-00001287-CL-UD-CTL,San Diego,92113,1,2018,Default judgment by clerk,N,N,Y
37-2018-00001288-CL-UD-CTL,San Diego,92104,1,2018,Default judgment by court,N,Y,Y
