CASE NUMBER,CITY,ZIP,MONTH,YEAR,DISPO TYPE,ANSWER,MONEY JUDGMENT,DEFAULT
37-2018-00000309-CL-UD-CTL,La Mesa,91942,1,2018,Request for Dismissal,N,N,N
37-2018-00000328-CL-UD-CTL,San Diego,92101,1,2018,Request for Dismissal,N,N,N
37-2018-00000332-CL-UD-CTL,FALLBROOK,92028,1,2018,Court-ordered dismissal,Y,N,N
37-2018-00000336-CL-UD-CTL,San Marcos,92078,1,2018,Court-ordered dismissal,Y,N,Y
37-2018-00000343-CL-UD-CTL,El Cajon,92021,1,2018,Court-ordered dismissal,Y,N,N
37-2018-00000346-CL-UD-CTL,El Cajon,92021,1,2018,Stipulated judgment,Y,N,N
37-2018-00000364-CL-UD-CTL,Oceanside,92054,1,2018,Court-ordered dismissal,Y,N,N
37-2018-00000372-CL-UD-CTL,San Diego,92114,1,2018,Request for Dismissal,N,N,N
37-2018-00000395-CL-UD-CTL,Oceanside,92054,1,2018,Request for Dismissal,N,N,N
37-2018-00000406-CL-UD-CTL,San Diego,92154,1,2018,Default judgment by court,N,Y,Y
37-2018-00000429-CL-UD-CTL,Vista,92083,1,2018,Court-ordered dismissal,N,N,N
37-2018-00000432-CL-UD-CTL,National City,91950,1,2018,Request for Dismissal,N,N,N
37-2018-00000434-CL-UD-CTL,San Diego,92113,1,2018,Request for Dismissal,Y,N,N
37-2018-00000444-CL-UD-CTL,Spring Valley,91978,1,2018,Request for Dismissal,N,N,N
37-2018-00000447-CL-UD-CTL,San Diego,92105,1,2018,Stipulated judgment,Y,N,N
37-2018-00000451-CL-UD-CTL,Spring Valley,91978,1,2018,Request for Dismissal,Y,N,Y
37-2018-00000464-CL-UD-CTL,San Diego,92104,1,2018,Dismissed,Y,Y,N
37-2018-00000471-CL-UD-CTL,La Jolla,92037,1,2018,Court finding,Y,N,N
37-2018-00000486-CL-UD-CTL,Oceanside,92057,1,2018,Stipulated judgment,N,N,Y
37-2018-00000488-CL-UD-CTL,Vista,92084,1,2018,Court finding,Y,N,N
37-2018-00000507-CL-UD-CTL,El Cajon,92021,1,2018,Stipulated judgment,Y,N,N
37-2018-00000511-CL-UD-CTL,San Diego,92109,1,2018,Request for Dismissal,N,N,N
37-2018-00000535-CL-UD-CTL,San Diego,92130,1,2018,Request for Dismissal,N,N,N
37-2018-00000538-CL-UD-CTL,Escondido,92027,1,2018,Request for Dismissal,N,N,Y
37-2018-00000546-CL-UD-CTL,San Diego,92120,1,2018,Stipulated judgment,N,N,N
37-2018-00000548-CL-UD-CTL,Ramona,92065,1,2018,Court-ordered dismissal,Y,N,N
37-2018-00000551-CL-UD-CTL,El Cajon,92021,1,2018,Court-ordered dismissal,Y,N,N
37-2018-00000553-CL-UD-CTL,Lemon Grove,91945,1,2018,Stipulated judgment,Y,N,N
37-2018-00000558-CL-UD-CTL,El Cajon,92021,1,2018,Default judgment by court,N,Y,Y
37-2018-00000582-CL-UD-CTL,Chula Vista,91915,1,2018,Request for Dismissal,N,N,N
37-2018-00000595-CL-UD-CTL,Chula Vista,91910,1,2018,Request for Dismissal,N,N,N
37-2018-00000596-CL-UD-CTL,SAN DIEGO,92105,1,2018,,N,N,N
37-2018-00000605-CL-UD-CTL,Chula Vista,91910,1,2018,Request for Dismissal,Y,N,N
37-2018-00000606-CL-UD-CTL,Chula Vista,91911,1,2018,Court finding,Y,N,N
37-2018-00000610-CL-UD-CTL,Oceanside,92056,1,2018,Court-ordered dismissal,Y,N,N
37-2018-00000623-CL-UD-CTL,Vista,92083,1,2018,Court-ordered dismissal,Y,N,N
37-2018-00000627-CL-UD-CTL,San Diego,92105,1,2018,Court-ordered dismissal,N,N,Y
37-2018-00000629-CL-UD-CTL,El Cajon,92021,1,2018,Court-ordered dismissal,Y,N,N
37-2018-00000746-CL-UD-CTL,La Mesa,91941,1,2018,Request for Dismissal,N,N,N
37-2018-00000759-CL-UD-CTL,SAN DIEGO,92101,1,2018,Court-ordered dismissal,Y,N,N
37-2018-00000770-CL-UD-CTL,Santee,92071,1,2018,Stipulated judgment,Y,N,Y
37-2018-00000776-CL-UD-CTL,San Diego,92113,1,2018,Court finding,Y,Y,N
37-2018-00000796-CL-UD-CTL,San Diego,92102,1,2018,Court-ordered dismissal,Y,N,N
37-2018-00000798-CL-UD-CTL,San Diego,91977,1,2018,Court-ordered dismissal,N,N,N
37-2018-00000840-CL-UD-CTL,San Diego,92114,1,2018,Request for Dismissal,Y,N,N
37-2018-00000845-CL-UD-CTL,Escondido,92027,1,2018,Court-ordered dismissal,Y,N,N
37-2018-00000849-CL-UD-CTL,San Diego,92113,1,2018,Request for Dismissal,Y,N,N
37-2018-00000868-CL-UD-CTL,Chula Vista,91911,1,2018,Default judgment by court,Y,Y,Y
37-2018-00000885-CL-UD-CTL,Escondido,92027,1,2018,Stipulated judgment,Y,N,N
37-2018-00000887-CL-UD-CTL,Escondido,92027,1,2018,Request for Dismissal,N,N,N
37-2018-00000893-CL-UD-CTL,Spring Valley,91977,1,2018,Court finding,Y,N,N
37-2018-00000943-CL-UD-CTL,El Cajon,92021,1,2018,Stipulated judgment,Y,N,N
37-2018-00000950-CL-UD-CTL,El Cajon,92021,1,2018,Court-ordered dismissal,Y,N,N
37-2018-00000963-CL-UD-CTL,El Cajon,92020,1,2018,Court-ordered dismissal,Y,N,N
37-2018-00000976-CL-UD-CTL,Spring Valley,91977,1,2018,Court-ordered dismissal,Y,N,Y
37-2018-00000982-CL-UD-CTL,San Diego,92105,1,2018,,Y,N,N
37-2018-00000984-CL-UD-CTL,Warner Springs,92086,1,2018,Request for Dismissal,Y,N,N
37-2018-00000986-CL-UD-CTL,Spring Valley,91978,1,2018,Request for Dismissal,N,N,N
37-2018-00000987-CL-UD-CTL,National City,91950,1,2018,Request for Dismissal,N,N,N
37-2018-00000988-CL-UD-CTL,San Diego,92107,1,2018,Court finding,Y,N,N
37-2018-00001007-CL-UD-CTL,Oceanside,92026,1,2018,Court-ordered dismissal,N,N,N
37-2018-00001008-CL-UD-CTL,San Diego,92123,1,2018,Stipulated judgment,Y,N,N
37-2018-00001013-CL-UD-CTL,San Diego,92117,1,2018,Court-ordered dismissal,Y,N,N
37-2018-00001019-CL-UD-CTL,Santee,92071,1,2018,Request for Dismissal,N,N,N
37-2018-00001022-CL-UD-CTL,San Diego,92103,1,2018,Court-ordered dismissal,N,N,N
37-2018-00001039-CL-UD-CTL,Vista,92083,1,2018,Request for Dismissal,N,N,N
37-2018-00001042-CL-UD-CTL,San Diego,92117,1,2018,Request for Dismissal,N,N,N
37-2018-00001045-CL-UD-CTL,La Mesa,91942,1,2018,Request for Dismissal,N,N,N
37-2018-00001052-CL-UD-CTL,Escondido,92027,1,2018,Court-ordered dismissal,Y,N,N
